CHR,START1,STOP1,START2,STOP2
chr1,72000000,74000000,74000000,76000000
chr1,74000000,76000000,74000000,76000000
chr1,74000000,76000000,76000000,78000000
chr1,76000000,78000000,76000000,78000000
chr1,76000000,78000000,78000000,80000000
chr1,78000000,80000000,78000000,80000000
chr1,78000000,80000000,80000000,82000000
chr1,80000000,82000000,80000000,82000000
chr1,80000000,82000000,82000000,84000000
chr1,82000000,84000000,82000000,84000000
chr1,82000000,84000000,84000000,86000000
chr1,84000000,86000000,84000000,86000000
chr1,84000000,86000000,86000000,88000000
chr1,86000000,88000000,86000000,88000000
chr1,86000000,88000000,88000000,90000000
chr1,88000000,90000000,88000000,90000000
chr1,88000000,90000000,90000000,92000000
chr1,90000000,92000000,90000000,92000000
chr1,90000000,92000000,92000000,94000000
chr1,92000000,94000000,92000000,94000000
chr1,92000000,94000000,94000000,96000000
chr1,94000000,96000000,94000000,96000000
chr1,94000000,96000000,96000000,98000000
chr1,96000000,98000000,96000000,98000000
chr1,96000000,98000000,98000000,100000000
chr1,98000000,100000000,98000000,100000000
chr1,98000000,100000000,100000000,102000000
chr1,100000000,102000000,100000000,102000000
chr1,100000000,102000000,102000000,104000000
chr1,102000000,104000000,102000000,104000000
chr1,102000000,104000000,104000000,106000000
chr1,104000000,106000000,104000000,106000000
chr1,104000000,106000000,106000000,108000000
chr1,106000000,108000000,106000000,108000000
chr1,106000000,108000000,108000000,110000000
chr1,108000000,110000000,108000000,110000000
chr1,108000000,110000000,110000000,112000000
chr1,110000000,112000000,110000000,112000000
chr1,110000000,112000000,112000000,114000000
chr1,112000000,114000000,112000000,114000000
chr1,112000000,114000000,114000000,116000000
chr1,114000000,116000000,114000000,116000000
chr1,114000000,116000000,116000000,118000000
chr1,116000000,118000000,116000000,118000000
chr1,116000000,118000000,118000000,120000000
chr1,118000000,120000000,118000000,120000000
chr1,118000000,120000000,120000000,122000000
chr1,120000000,122000000,120000000,122000000
chr1,120000000,122000000,122000000,124000000
chr1,122000000,124000000,122000000,124000000
chr1,122000000,124000000,124000000,126000000
chr1,124000000,126000000,124000000,126000000
chr1,142000000,144000000,142000000,144000000
chr1,142000000,144000000,144000000,146000000
chr1,144000000,146000000,144000000,146000000
chr1,144000000,146000000,146000000,148000000
chr1,146000000,148000000,146000000,148000000
chr1,146000000,148000000,148000000,150000000
chr1,148000000,150000000,148000000,150000000
chr1,148000000,150000000,150000000,152000000
chr1,150000000,152000000,150000000,152000000
chr1,150000000,152000000,152000000,154000000
chr1,152000000,154000000,152000000,154000000
chr1,152000000,154000000,154000000,156000000
chr1,154000000,156000000,154000000,156000000
chr1,154000000,156000000,156000000,158000000
chr1,156000000,158000000,156000000,158000000
chr1,156000000,158000000,158000000,160000000
chr1,158000000,160000000,158000000,160000000
chr1,158000000,160000000,160000000,162000000
chr1,160000000,162000000,160000000,162000000
chr1,160000000,162000000,162000000,164000000
chr1,162000000,164000000,162000000,164000000
chr1,162000000,164000000,164000000,166000000
chr1,164000000,166000000,164000000,166000000
chr1,164000000,166000000,166000000,168000000
chr1,166000000,168000000,166000000,168000000
chr1,166000000,168000000,168000000,170000000
chr1,168000000,170000000,168000000,170000000
chr1,168000000,170000000,170000000,172000000
chr1,170000000,172000000,170000000,172000000
chr1,170000000,172000000,172000000,174000000
chr1,172000000,174000000,172000000,174000000
chr1,172000000,174000000,174000000,176000000
chr1,174000000,176000000,174000000,176000000
chr1,174000000,176000000,176000000,178000000
chr1,176000000,178000000,176000000,178000000
chr1,176000000,178000000,178000000,180000000
chr1,178000000,180000000,178000000,180000000
chr1,178000000,180000000,180000000,182000000
chr1,180000000,182000000,180000000,182000000
chr1,180000000,182000000,182000000,184000000
chr1,182000000,184000000,182000000,184000000
chr1,182000000,184000000,184000000,186000000
chr1,184000000,186000000,184000000,186000000
chr1,184000000,186000000,186000000,188000000
chr1,186000000,188000000,186000000,188000000
chr1,186000000,188000000,188000000,190000000
chr1,188000000,190000000,188000000,190000000
chr1,188000000,190000000,190000000,192000000
chr1,190000000,192000000,190000000,192000000
chr1,190000000,192000000,192000000,194000000
chr1,192000000,194000000,192000000,194000000
chr1,192000000,194000000,194000000,196000000
chr1,194000000,196000000,194000000,196000000
chr1,194000000,196000000,196000000,198000000
chr1,196000000,198000000,196000000,198000000
chr1,196000000,198000000,198000000,200000000
chr1,198000000,200000000,198000000,200000000
chr1,198000000,200000000,200000000,202000000
chr1,200000000,202000000,200000000,202000000
chr1,200000000,202000000,202000000,204000000
chr1,202000000,204000000,202000000,204000000
chr1,202000000,204000000,204000000,206000000
chr1,204000000,206000000,204000000,206000000
chr1,204000000,206000000,206000000,208000000
chr1,206000000,208000000,206000000,208000000
chr1,206000000,208000000,208000000,210000000
chr1,208000000,210000000,208000000,210000000
chr1,208000000,210000000,210000000,212000000
chr1,210000000,212000000,210000000,212000000
chr1,210000000,212000000,212000000,214000000
chr1,212000000,214000000,212000000,214000000
chr1,212000000,214000000,214000000,216000000
chr1,214000000,216000000,214000000,216000000
chr1,214000000,216000000,216000000,218000000
chr1,216000000,218000000,216000000,218000000
chr1,216000000,218000000,218000000,220000000
chr1,218000000,220000000,218000000,220000000
chr1,218000000,220000000,220000000,222000000
chr1,220000000,222000000,220000000,222000000
chr1,220000000,222000000,222000000,224000000
chr1,222000000,224000000,222000000,224000000
chr1,222000000,224000000,224000000,226000000
chr1,224000000,226000000,224000000,226000000
chr1,224000000,226000000,226000000,228000000
chr1,226000000,228000000,226000000,228000000
chr1,226000000,228000000,228000000,230000000
chr1,228000000,230000000,228000000,230000000
chr1,228000000,230000000,230000000,232000000
chr1,230000000,232000000,230000000,232000000
chr1,230000000,232000000,232000000,234000000
chr1,232000000,234000000,232000000,234000000
chr1,232000000,234000000,234000000,236000000
chr1,234000000,236000000,234000000,236000000
chr1,234000000,236000000,236000000,238000000
chr1,236000000,238000000,236000000,238000000
chr1,236000000,238000000,238000000,240000000
chr1,238000000,240000000,238000000,240000000
chr1,238000000,240000000,240000000,242000000
chr1,240000000,242000000,240000000,242000000
chr1,240000000,242000000,242000000,244000000
chr1,242000000,244000000,242000000,244000000
chr1,242000000,244000000,244000000,246000000
chr1,244000000,246000000,244000000,246000000
chr1,244000000,246000000,246000000,248000000
chr1,246000000,248000000,246000000,248000000
chr2,0,2000000,0,2000000
chr2,0,2000000,2000000,4000000
chr2,2000000,4000000,2000000,4000000
chr2,2000000,4000000,4000000,6000000
chr2,4000000,6000000,4000000,6000000
chr2,4000000,6000000,6000000,8000000
chr2,6000000,8000000,6000000,8000000
chr2,6000000,8000000,8000000,10000000
chr2,8000000,10000000,8000000,10000000
chr2,8000000,10000000,10000000,12000000
chr2,10000000,12000000,10000000,12000000
chr2,10000000,12000000,12000000,14000000
chr2,12000000,14000000,12000000,14000000
chr2,12000000,14000000,14000000,16000000
chr2,14000000,16000000,14000000,16000000
chr2,14000000,16000000,16000000,18000000
chr2,16000000,18000000,16000000,18000000
chr2,16000000,18000000,18000000,20000000
chr2,18000000,20000000,18000000,20000000
chr2,18000000,20000000,20000000,22000000
chr2,20000000,22000000,20000000,22000000
chr2,20000000,22000000,22000000,24000000
chr2,22000000,24000000,22000000,24000000
chr2,22000000,24000000,24000000,26000000
chr2,24000000,26000000,24000000,26000000
chr2,24000000,26000000,26000000,28000000
chr2,26000000,28000000,26000000,28000000
chr2,26000000,28000000,28000000,30000000
chr2,28000000,30000000,28000000,30000000
chr2,28000000,30000000,30000000,32000000
chr2,30000000,32000000,30000000,32000000
chr2,30000000,32000000,32000000,34000000
chr2,32000000,34000000,32000000,34000000
chr2,32000000,34000000,34000000,36000000
chr2,34000000,36000000,34000000,36000000
chr2,34000000,36000000,36000000,38000000
chr2,36000000,38000000,36000000,38000000
chr2,36000000,38000000,38000000,40000000
chr2,38000000,40000000,38000000,40000000
chr2,38000000,40000000,40000000,42000000
chr2,40000000,42000000,40000000,42000000
chr2,40000000,42000000,42000000,44000000
chr2,42000000,44000000,42000000,44000000
chr2,42000000,44000000,44000000,46000000
chr2,44000000,46000000,44000000,46000000
chr2,44000000,46000000,46000000,48000000
chr2,46000000,48000000,46000000,48000000
chr2,46000000,48000000,48000000,50000000
chr2,48000000,50000000,48000000,50000000
chr2,48000000,50000000,50000000,52000000
chr2,50000000,52000000,50000000,52000000
chr2,50000000,52000000,52000000,54000000
chr2,52000000,54000000,52000000,54000000
chr2,52000000,54000000,54000000,56000000
chr2,54000000,56000000,54000000,56000000
chr2,54000000,56000000,56000000,58000000
chr2,56000000,58000000,56000000,58000000
chr2,56000000,58000000,58000000,60000000
chr2,58000000,60000000,58000000,60000000
chr2,58000000,60000000,60000000,62000000
chr2,60000000,62000000,60000000,62000000
chr2,60000000,62000000,62000000,64000000
chr2,62000000,64000000,62000000,64000000
chr2,62000000,64000000,64000000,66000000
chr2,64000000,66000000,64000000,66000000
chr2,64000000,66000000,66000000,68000000
chr2,66000000,68000000,66000000,68000000
chr2,66000000,68000000,68000000,70000000
chr2,68000000,70000000,68000000,70000000
chr2,68000000,70000000,70000000,72000000
chr2,70000000,72000000,70000000,72000000
chr2,70000000,72000000,72000000,74000000
chr2,72000000,74000000,72000000,74000000
chr2,72000000,74000000,74000000,76000000
chr2,74000000,76000000,74000000,76000000
chr2,74000000,76000000,76000000,78000000
chr2,76000000,78000000,76000000,78000000
chr2,76000000,78000000,78000000,80000000
chr2,78000000,80000000,78000000,80000000
chr2,78000000,80000000,80000000,82000000
chr2,80000000,82000000,80000000,82000000
chr2,80000000,82000000,82000000,84000000
chr2,82000000,84000000,82000000,84000000
chr2,82000000,84000000,84000000,86000000
chr2,84000000,86000000,84000000,86000000
chr2,84000000,86000000,86000000,88000000
chr2,86000000,88000000,86000000,88000000
chr2,86000000,88000000,88000000,90000000
chr2,88000000,90000000,88000000,90000000
chr2,88000000,90000000,90000000,92000000
chr2,90000000,92000000,90000000,92000000
chr2,90000000,92000000,92000000,94000000
chr2,92000000,94000000,92000000,94000000
chr2,92000000,94000000,94000000,96000000
chr2,94000000,96000000,94000000,96000000
chr2,94000000,96000000,96000000,98000000
chr2,96000000,98000000,96000000,98000000
chr2,96000000,98000000,98000000,100000000
chr2,98000000,100000000,98000000,100000000
chr2,98000000,100000000,100000000,102000000
chr2,100000000,102000000,100000000,102000000
chr2,100000000,102000000,102000000,104000000
chr2,102000000,104000000,102000000,104000000
chr2,102000000,104000000,104000000,106000000
chr2,104000000,106000000,104000000,106000000
chr2,104000000,106000000,106000000,108000000
chr2,106000000,108000000,106000000,108000000
chr2,106000000,108000000,108000000,110000000
chr2,108000000,110000000,108000000,110000000
chr2,108000000,110000000,110000000,112000000
chr2,110000000,112000000,110000000,112000000
chr2,110000000,112000000,112000000,114000000
chr2,112000000,114000000,112000000,114000000
chr2,112000000,114000000,114000000,116000000
chr2,114000000,116000000,114000000,116000000
chr2,114000000,116000000,116000000,118000000
chr2,116000000,118000000,116000000,118000000
chr2,116000000,118000000,118000000,120000000
chr2,118000000,120000000,118000000,120000000
chr2,118000000,120000000,120000000,122000000
chr2,120000000,122000000,120000000,122000000
chr2,120000000,122000000,122000000,124000000
chr2,122000000,124000000,122000000,124000000
chr2,122000000,124000000,124000000,126000000
chr2,124000000,126000000,124000000,126000000
chr2,124000000,126000000,126000000,128000000
chr2,126000000,128000000,126000000,128000000
chr2,126000000,128000000,128000000,130000000
chr2,128000000,130000000,128000000,130000000
chr2,128000000,130000000,130000000,132000000
chr2,130000000,132000000,130000000,132000000
chr2,130000000,132000000,132000000,134000000
chr2,132000000,134000000,132000000,134000000
chr2,132000000,134000000,134000000,136000000
chr2,134000000,136000000,134000000,136000000
chr2,134000000,136000000,136000000,138000000
chr2,136000000,138000000,136000000,138000000
chr2,136000000,138000000,138000000,140000000
chr2,138000000,140000000,138000000,140000000
chr2,138000000,140000000,140000000,142000000
chr2,140000000,142000000,140000000,142000000
chr2,140000000,142000000,142000000,144000000
chr2,142000000,144000000,142000000,144000000
chr2,142000000,144000000,144000000,146000000
chr2,144000000,146000000,144000000,146000000
chr2,144000000,146000000,146000000,148000000
chr2,146000000,148000000,146000000,148000000
chr2,146000000,148000000,148000000,150000000
chr2,148000000,150000000,148000000,150000000
chr2,148000000,150000000,150000000,152000000
chr2,150000000,152000000,150000000,152000000
chr2,150000000,152000000,152000000,154000000
chr2,152000000,154000000,152000000,154000000
chr2,152000000,154000000,154000000,156000000
chr2,154000000,156000000,154000000,156000000
chr2,154000000,156000000,156000000,158000000
chr2,156000000,158000000,156000000,158000000
chr2,156000000,158000000,158000000,160000000
chr2,158000000,160000000,158000000,160000000
chr2,158000000,160000000,160000000,162000000
chr2,160000000,162000000,160000000,162000000
chr2,160000000,162000000,162000000,164000000
chr2,162000000,164000000,162000000,164000000
chr2,162000000,164000000,164000000,166000000
chr2,164000000,166000000,164000000,166000000
chr2,164000000,166000000,166000000,168000000
chr2,166000000,168000000,166000000,168000000
chr2,166000000,168000000,168000000,170000000
chr2,168000000,170000000,168000000,170000000
chr2,168000000,170000000,170000000,172000000
chr2,170000000,172000000,170000000,172000000
chr2,170000000,172000000,172000000,174000000
chr2,172000000,174000000,172000000,174000000
chr2,172000000,174000000,174000000,176000000
chr2,174000000,176000000,174000000,176000000
chr2,174000000,176000000,176000000,178000000
chr2,176000000,178000000,176000000,178000000
chr2,176000000,178000000,178000000,180000000
chr2,178000000,180000000,178000000,180000000
chr2,178000000,180000000,180000000,182000000
chr2,180000000,182000000,180000000,182000000
chr2,180000000,182000000,182000000,184000000
chr2,182000000,184000000,182000000,184000000
chr2,182000000,184000000,184000000,186000000
chr2,184000000,186000000,184000000,186000000
chr2,184000000,186000000,186000000,188000000
chr2,186000000,188000000,186000000,188000000
chr2,186000000,188000000,188000000,190000000
chr2,188000000,190000000,188000000,190000000
chr2,188000000,190000000,190000000,192000000
chr2,190000000,192000000,190000000,192000000
chr2,190000000,192000000,192000000,194000000
chr2,192000000,194000000,192000000,194000000
chr2,192000000,194000000,194000000,196000000
chr2,194000000,196000000,194000000,196000000
chr2,194000000,196000000,196000000,198000000
chr2,196000000,198000000,196000000,198000000
chr2,196000000,198000000,198000000,200000000
chr2,198000000,200000000,198000000,200000000
chr2,198000000,200000000,200000000,202000000
chr2,200000000,202000000,200000000,202000000
chr2,200000000,202000000,202000000,204000000
chr2,202000000,204000000,202000000,204000000
chr2,202000000,204000000,204000000,206000000
chr2,204000000,206000000,204000000,206000000
chr2,204000000,206000000,206000000,208000000
chr2,206000000,208000000,206000000,208000000
chr2,206000000,208000000,208000000,210000000
chr2,208000000,210000000,208000000,210000000
chr2,208000000,210000000,210000000,212000000
chr2,210000000,212000000,210000000,212000000
chr2,210000000,212000000,212000000,214000000
chr2,212000000,214000000,212000000,214000000
chr2,212000000,214000000,214000000,216000000
chr2,214000000,216000000,214000000,216000000
chr2,214000000,216000000,216000000,218000000
chr2,216000000,218000000,216000000,218000000
chr2,216000000,218000000,218000000,220000000
chr2,218000000,220000000,218000000,220000000
chr2,218000000,220000000,220000000,222000000
chr2,220000000,222000000,220000000,222000000
chr2,220000000,222000000,222000000,224000000
chr2,222000000,224000000,222000000,224000000
chr2,222000000,224000000,224000000,226000000
chr2,224000000,226000000,224000000,226000000
chr2,224000000,226000000,226000000,228000000
chr2,226000000,228000000,226000000,228000000
chr2,226000000,228000000,228000000,230000000
chr2,228000000,230000000,228000000,230000000
chr2,228000000,230000000,230000000,232000000
chr2,230000000,232000000,230000000,232000000
chr2,230000000,232000000,232000000,234000000
chr2,232000000,234000000,232000000,234000000
chr2,232000000,234000000,234000000,236000000
chr2,234000000,236000000,234000000,236000000
chr2,234000000,236000000,236000000,238000000
chr2,236000000,238000000,236000000,238000000
chr2,236000000,238000000,238000000,240000000
chr2,238000000,240000000,238000000,240000000
chr2,238000000,240000000,240000000,242000000
chr2,240000000,242000000,240000000,242000000
chr3,0,2000000,0,2000000
chr3,0,2000000,2000000,4000000
chr3,2000000,4000000,2000000,4000000
chr3,2000000,4000000,4000000,6000000
chr3,4000000,6000000,4000000,6000000
chr3,4000000,6000000,6000000,8000000
chr3,6000000,8000000,6000000,8000000
chr3,6000000,8000000,8000000,10000000
chr3,8000000,10000000,8000000,10000000
chr3,8000000,10000000,10000000,12000000
chr3,10000000,12000000,10000000,12000000
chr3,10000000,12000000,12000000,14000000
chr3,12000000,14000000,12000000,14000000
chr3,12000000,14000000,14000000,16000000
chr3,14000000,16000000,14000000,16000000
chr3,14000000,16000000,16000000,18000000
chr3,16000000,18000000,16000000,18000000
chr3,16000000,18000000,18000000,20000000
chr3,18000000,20000000,18000000,20000000
chr3,18000000,20000000,20000000,22000000
chr3,20000000,22000000,20000000,22000000
chr3,20000000,22000000,22000000,24000000
chr3,22000000,24000000,22000000,24000000
chr3,22000000,24000000,24000000,26000000
chr3,24000000,26000000,24000000,26000000
chr3,24000000,26000000,26000000,28000000
chr3,26000000,28000000,26000000,28000000
chr3,26000000,28000000,28000000,30000000
chr3,28000000,30000000,28000000,30000000
chr3,28000000,30000000,30000000,32000000
chr3,30000000,32000000,30000000,32000000
chr3,30000000,32000000,32000000,34000000
chr3,32000000,34000000,32000000,34000000
chr3,32000000,34000000,34000000,36000000
chr3,34000000,36000000,34000000,36000000
chr3,34000000,36000000,36000000,38000000
chr3,36000000,38000000,36000000,38000000
chr3,36000000,38000000,38000000,40000000
chr3,38000000,40000000,38000000,40000000
chr3,38000000,40000000,40000000,42000000
chr3,40000000,42000000,40000000,42000000
chr3,40000000,42000000,42000000,44000000
chr3,42000000,44000000,42000000,44000000
chr3,42000000,44000000,44000000,46000000
chr3,44000000,46000000,44000000,46000000
chr3,44000000,46000000,46000000,48000000
chr3,46000000,48000000,46000000,48000000
chr3,46000000,48000000,48000000,50000000
chr3,48000000,50000000,48000000,50000000
chr3,48000000,50000000,50000000,52000000
chr3,50000000,52000000,50000000,52000000
chr3,50000000,52000000,52000000,54000000
chr3,52000000,54000000,52000000,54000000
chr3,52000000,54000000,54000000,56000000
chr3,54000000,56000000,54000000,56000000
chr3,54000000,56000000,56000000,58000000
chr3,56000000,58000000,56000000,58000000
chr3,56000000,58000000,58000000,60000000
chr3,58000000,60000000,58000000,60000000
chr3,58000000,60000000,60000000,62000000
chr3,60000000,62000000,60000000,62000000
chr3,60000000,62000000,62000000,64000000
chr3,62000000,64000000,62000000,64000000
chr3,62000000,64000000,64000000,66000000
chr3,64000000,66000000,64000000,66000000
chr3,64000000,66000000,66000000,68000000
chr3,66000000,68000000,66000000,68000000
chr3,66000000,68000000,68000000,70000000
chr3,68000000,70000000,68000000,70000000
chr3,68000000,70000000,70000000,72000000
chr3,70000000,72000000,70000000,72000000
chr3,70000000,72000000,72000000,74000000
chr3,72000000,74000000,72000000,74000000
chr3,72000000,74000000,74000000,76000000
chr3,74000000,76000000,74000000,76000000
chr3,74000000,76000000,76000000,78000000
chr3,76000000,78000000,76000000,78000000
chr3,76000000,78000000,78000000,80000000
chr3,78000000,80000000,78000000,80000000
chr3,78000000,80000000,80000000,82000000
chr3,80000000,82000000,80000000,82000000
chr3,80000000,82000000,82000000,84000000
chr3,82000000,84000000,82000000,84000000
chr3,82000000,84000000,84000000,86000000
chr3,84000000,86000000,84000000,86000000
chr3,84000000,86000000,86000000,88000000
chr3,86000000,88000000,86000000,88000000
chr3,86000000,88000000,88000000,90000000
chr3,88000000,90000000,88000000,90000000
chr3,88000000,90000000,90000000,92000000
chr3,90000000,92000000,90000000,92000000
chr3,90000000,92000000,92000000,94000000
chr3,92000000,94000000,92000000,94000000
chr3,92000000,94000000,94000000,96000000
chr3,94000000,96000000,94000000,96000000
chr3,94000000,96000000,96000000,98000000
chr3,96000000,98000000,96000000,98000000
chr3,96000000,98000000,98000000,100000000
chr3,98000000,100000000,98000000,100000000
chr3,98000000,100000000,100000000,102000000
chr3,100000000,102000000,100000000,102000000
chr3,100000000,102000000,102000000,104000000
chr3,102000000,104000000,102000000,104000000
chr3,102000000,104000000,104000000,106000000
chr3,104000000,106000000,104000000,106000000
chr3,104000000,106000000,106000000,108000000
chr3,106000000,108000000,106000000,108000000
chr3,106000000,108000000,108000000,110000000
chr3,108000000,110000000,108000000,110000000
chr3,108000000,110000000,110000000,112000000
chr3,110000000,112000000,110000000,112000000
chr3,110000000,112000000,112000000,114000000
chr3,112000000,114000000,112000000,114000000
chr3,112000000,114000000,114000000,116000000
chr3,114000000,116000000,114000000,116000000
chr3,114000000,116000000,116000000,118000000
chr3,116000000,118000000,116000000,118000000
chr3,116000000,118000000,118000000,120000000
chr3,118000000,120000000,118000000,120000000
chr3,118000000,120000000,120000000,122000000
chr3,120000000,122000000,120000000,122000000
chr3,120000000,122000000,122000000,124000000
chr3,122000000,124000000,122000000,124000000
chr3,122000000,124000000,124000000,126000000
chr3,124000000,126000000,124000000,126000000
chr3,124000000,126000000,126000000,128000000
chr3,126000000,128000000,126000000,128000000
chr3,126000000,128000000,128000000,130000000
chr3,128000000,130000000,128000000,130000000
chr3,128000000,130000000,130000000,132000000
chr3,130000000,132000000,130000000,132000000
chr3,130000000,132000000,132000000,134000000
chr3,132000000,134000000,132000000,134000000
chr3,132000000,134000000,134000000,136000000
chr3,134000000,136000000,134000000,136000000
chr3,134000000,136000000,136000000,138000000
chr3,136000000,138000000,136000000,138000000
chr3,136000000,138000000,138000000,140000000
chr3,138000000,140000000,138000000,140000000
chr3,138000000,140000000,140000000,142000000
chr3,140000000,142000000,140000000,142000000
chr3,140000000,142000000,142000000,144000000
chr3,142000000,144000000,142000000,144000000
chr3,142000000,144000000,144000000,146000000
chr3,144000000,146000000,144000000,146000000
chr3,144000000,146000000,146000000,148000000
chr3,146000000,148000000,146000000,148000000
chr3,146000000,148000000,148000000,150000000
chr3,148000000,150000000,148000000,150000000
chr3,148000000,150000000,150000000,152000000
chr3,150000000,152000000,150000000,152000000
chr3,150000000,152000000,152000000,154000000
chr3,152000000,154000000,152000000,154000000
chr3,152000000,154000000,154000000,156000000
chr3,154000000,156000000,154000000,156000000
chr3,154000000,156000000,156000000,158000000
chr3,156000000,158000000,156000000,158000000
chr3,156000000,158000000,158000000,160000000
chr3,158000000,160000000,158000000,160000000
chr3,158000000,160000000,160000000,162000000
chr3,160000000,162000000,160000000,162000000
chr3,160000000,162000000,162000000,164000000
chr3,162000000,164000000,162000000,164000000
chr3,162000000,164000000,164000000,166000000
chr3,164000000,166000000,164000000,166000000
chr3,164000000,166000000,166000000,168000000
chr3,166000000,168000000,166000000,168000000
chr3,166000000,168000000,168000000,170000000
chr3,168000000,170000000,168000000,170000000
chr3,168000000,170000000,170000000,172000000
chr3,170000000,172000000,170000000,172000000
chr3,170000000,172000000,172000000,174000000
chr3,172000000,174000000,172000000,174000000
chr3,172000000,174000000,174000000,176000000
chr3,174000000,176000000,174000000,176000000
chr3,174000000,176000000,176000000,178000000
chr3,176000000,178000000,176000000,178000000
chr3,176000000,178000000,178000000,180000000
chr3,178000000,180000000,178000000,180000000
chr3,178000000,180000000,180000000,182000000
chr3,180000000,182000000,180000000,182000000
chr3,180000000,182000000,182000000,184000000
chr3,182000000,184000000,182000000,184000000
chr3,182000000,184000000,184000000,186000000
chr3,184000000,186000000,184000000,186000000
chr3,184000000,186000000,186000000,188000000
chr3,186000000,188000000,186000000,188000000
chr3,186000000,188000000,188000000,190000000
chr3,188000000,190000000,188000000,190000000
chr3,188000000,190000000,190000000,192000000
chr3,190000000,192000000,190000000,192000000
chr3,190000000,192000000,192000000,194000000
chr3,192000000,194000000,192000000,194000000
chr3,192000000,194000000,194000000,196000000
chr3,194000000,196000000,194000000,196000000
chr3,194000000,196000000,196000000,198000000
chr3,196000000,198000000,196000000,198000000
chr4,0,2000000,0,2000000
chr4,0,2000000,2000000,4000000
chr4,2000000,4000000,2000000,4000000
chr4,2000000,4000000,4000000,6000000
chr4,4000000,6000000,4000000,6000000
chr4,4000000,6000000,6000000,8000000
chr4,6000000,8000000,6000000,8000000
chr4,6000000,8000000,8000000,10000000
chr4,8000000,10000000,8000000,10000000
chr4,8000000,10000000,10000000,12000000
chr4,10000000,12000000,10000000,12000000
chr4,10000000,12000000,12000000,14000000
chr4,12000000,14000000,12000000,14000000
chr4,12000000,14000000,14000000,16000000
chr4,14000000,16000000,14000000,16000000
chr4,14000000,16000000,16000000,18000000
chr4,16000000,18000000,16000000,18000000
chr4,16000000,18000000,18000000,20000000
chr4,18000000,20000000,18000000,20000000
chr4,18000000,20000000,20000000,22000000
chr4,20000000,22000000,20000000,22000000
chr4,20000000,22000000,22000000,24000000
chr4,22000000,24000000,22000000,24000000
chr4,22000000,24000000,24000000,26000000
chr4,24000000,26000000,24000000,26000000
chr4,24000000,26000000,26000000,28000000
chr4,26000000,28000000,26000000,28000000
chr4,26000000,28000000,28000000,30000000
chr4,28000000,30000000,28000000,30000000
chr4,28000000,30000000,30000000,32000000
chr4,30000000,32000000,30000000,32000000
